shipment_id,origin_location,origin_lat,origin_lon,destination_location,destination_lat,destination_lon,shipment_date,shipment_mode,weight_kg,freight_cost_usd,estimated_arrival," ""Result""",conflict_type,conflict_severity,conflict_date,conflict_region,weather_location,weather_range,weather_azimuth,origin_location_encoded,destination_location_encoded,conflict_severity_encoded,region_Ethiopia,region_India,region_Myanmar,region_Nigeria,region_Pakistan,region_South Sudan,region_Ukraine,mode_Air,mode_Land,mode_Sea,conflict_type_encoded,weather_azimuth_angle,weather_azimuth_sin,weather_azimuth_cos,weather_location_encoded,shipment_day,shipment_month,shipment_year,shipment_weekday,shipping_duration_days,arrival_day,arrival_month,arrival_year,arrival_weekday
248,BLUE RIVER,34.47,-80.0039,LAMAR ARPT,38.07,-102.68,2024-09-01,Sea,4302,6224.26,2024-09-19,,Strike,High,2024-08-24,Ethiopia,OLYMPIA MILLS,0.65,NW,172,172,2,True,False,False,False,False,False,False,False,False,True,1,315.0,-0.7071067812,0.7071067812,33,1,9,2024,6,18,19,9,2024,3
1425,RANSOM,39.29,-78.99,STEUBENVILLE,40.36,-80.62,2024-08-01,Air,7173,9387.04,2024-08-13,,Political Protest,Low,2024-08-01,India,DAYTON,0.52,E,517,517,0,False,True,False,False,False,False,False,True,False,False,0,90.0,1.0,6.123233996e-17,8,1,8,2024,3,12,13,8,2024,1
164,SOMERSET,38.688,-77.02,DICKSON,38.29,-82.48,2024-08-01,Land,4102,3920.69,2024-08-15,,Political Protest,Low,2024-08-01,India,QUINTON,0.55,E,774,774,0,False,True,False,False,False,False,False,False,True,False,0,90.0,1.0,6.123233996e-17,4,1,8,2024,3,14,15,8,2024,3
1013,KNOX CITY,38.3234,-93.8125,MT VERNON,38.3077,-88.9456,2024-08-01,Sea,540,6335.46,2024-08-13,,Strike,Low,2024-08-06,India,KANSAS CITY,3.81,SSW,44,44,0,False,True,False,False,False,False,False,False,False,True,1,202.5,-0.3826834324,-0.9238795325,5,1,8,2024,3,12,13,8,2024,1
3829,SANDY BANK,37.38,-77.1182,OHIOVILLE,41.7326,-74.0645,2024-08-01,Air,3642,1554.96,2024-08-08,,Political Protest,Low,2024-08-01,India,BRAKENBERG,0.31,S,630,630,0,False,True,False,False,False,False,False,True,False,False,0,180.0,1.224646799e-16,-1.0,5,1,8,2024,3,7,8,8,2024,3
3677,ELMWOOD,38.432,-95.762,GOESSEL,38.25,-97.35,2024-08-01,Sea,9721,7165.56,2024-08-20,,Strike,Low,2024-08-06,India,LINCOLNVILLE,0.88,SE,120,120,0,False,True,False,False,False,False,False,False,False,True,1,135.0,0.7071067812,-0.7071067812,4,1,8,2024,3,19,20,8,2024,1
657,(ELP)EL PASO INTL AR,36.6139,-91.1,GALESTOWN,38.56,-75.72,2023-07-01,Sea,9039,9327.81,2023-07-15,,Riots,Critical,2023-07-11,India,CAYCE,1.37,N,109,109,3,False,True,False,False,False,False,False,False,False,True,2,0.0,0.0,1.0,3,1,7,2023,5,14,15,7,2023,5
2371,HARGIS,36.487,-92.97,RICHMOND,37.5996,-77.4659,2023-07-01,Land,3880,9893.59,2023-07-08,,Riots,Critical,2023-07-11,India,ALMA,0.35,NE,70,70,3,False,True,False,False,False,False,False,False,True,False,2,45.0,0.7071067812,0.7071067812,19,1,7,2023,5,7,8,7,2023,5
1710,INDIANAPOLIS INTL AR,34.36,-81.0063,CAIRO,37.0062,-89.1679,2023-07-01,Air,785,9946.65,2023-07-19,,Border Skirmish,Critical,2023-07-09,Ukraine,AYNOR,0.0,N,329,329,3,False,False,False,False,False,False,True,True,False,False,4,0.0,0.0,1.0,11,1,7,2023,5,18,19,7,2023,2
380,GANSEVOORT,32.3305,-82.936,FOLLY BEACH C-MAN (FBIS1),32.5425,-79.6639,2023-07-01,Air,8684,7706.32,2023-07-17,,Border Skirmish,Critical,2023-07-09,Ukraine,KIRKLAND,2.74,ENE,199,199,3,False,False,False,False,False,False,True,True,False,False,4,67.5,0.9238795325,0.3826834324,1,1,7,2023,5,16,17,7,2023,0
326,HOAG,38.42,-81.1764,CAMDEN,33.5852,-92.8357,2023-01-01,Air,9733,6142.83,2023-01-08,,Strike,High,2023-01-07,Nigeria,KENO,0.44,NNE,113,113,2,False,False,False,True,False,False,False,True,False,False,1,22.5,0.3826834324,0.9238795325,16,1,1,2023,6,7,8,1,2023,6
164,SOMERSET,38.688,-77.02,DICKSON,38.29,-82.48,2024-08-01,Land,4102,3920.69,2024-08-15,,Political Protest,Low,2024-08-01,India,WOODFORD,1.07,SE,774,774,0,False,True,False,False,False,False,False,False,True,False,0,135.0,0.7071067812,-0.7071067812,8,1,8,2024,3,14,15,8,2024,3
1016,CHETEK,38.69,-79.771,UKIAH,39.1529,-123.1917,2023-01-01,Air,3421,904.95,2023-01-18,,Strike,High,2023-01-07,Nigeria,CHESTER,1.7,E,71,71,2,False,False,False,True,False,False,False,True,False,False,1,90.0,1.0,6.123233996e-17,39,1,1,2023,6,17,18,1,2023,2
4905,LOCKMOOR,37.53,-91.0923,VIRGINIA COLONY,34.24,-118.86,2023-08-01,Sea,8602,2473.54,2023-08-05,,Political Protest,Low,2023-07-24,Myanmar,PFEIFFER,1.75,SSW,25,25,0,False,False,True,False,False,False,False,False,False,True,0,202.5,-0.3826834324,-0.9238795325,16,1,8,2023,1,4,5,8,2023,5
1848,BRIDGEPORT,38.43,-80.48,ZION,37.97,-78.22,2024-08-01,Land,4597,237.51,2024-08-09,,Political Protest,Low,2024-08-01,India,VIENNA,0.69,S,204,204,0,False,True,False,False,False,False,False,False,True,False,0,180.0,1.224646799e-16,-1.0,2,1,8,2024,3,8,9,8,2024,4
3831,(CPR)NATRONA CO ARPT,36.805,-94.5238,ROBERTSON FORK,35.3022,-86.9512,2023-02-01,Sea,6104,1474.84,2023-02-18,,Border Skirmish,Low,2023-01-23,Pakistan,CLARKSVILLE,2.25,W,163,163,0,False,False,False,False,True,False,False,False,False,True,4,270.0,-1.0,-1.836970199e-16,7,1,2,2023,2,17,18,2,2023,5
2734,(DDC)DODGE CITY ARPT,33.18,-96.76,FORDLAND,37.2138,-92.9269,2023-03-01,Air,3181,2438.98,2023-03-25,,Riots,Low,2023-02-19,Ethiopia,(RBD)REDBIRD ARPT DA,0.0,N,246,246,0,True,False,False,False,False,False,False,True,False,False,2,0.0,0.0,1.0,4,1,3,2023,2,24,25,3,2023,5
4213,REXBURG MDSN CO ARPT,36.18,-94.7089,ARTESIAN,33.2805,-92.4301,2023-04-01,Sea,6330,6707.05,2023-04-27,,Political Protest,High,2023-04-08,Pakistan,OAK GROVE,2.27,ENE,169,169,2,False,False,False,False,True,False,False,False,False,True,0,67.5,0.9238795325,0.3826834324,10,1,4,2023,5,26,27,4,2023,3
164,SOMERSET,38.688,-77.02,DICKSON,38.29,-82.48,2024-08-01,Land,4102,3920.69,2024-08-15,,Political Protest,Low,2024-08-01,India,ESMONT,3.24,WSW,774,774,0,False,True,False,False,False,False,False,False,True,False,0,247.5,-0.9238795325,-0.3826834324,36,1,8,2024,3,14,15,8,2024,3
4783,ASHLEY,31.9792,-97.53,LA SAL JCT ARPT,38.183,-109.6711,2024-08-01,Land,2110,8349.62,2024-08-10,,Strike,High,2024-08-08,Ethiopia,CLYDE,0.69,N,10,10,2,True,False,False,False,False,False,False,False,True,False,1,0.0,0.0,1.0,4,1,8,2024,3,9,10,8,2024,5
1710,INDIANAPOLIS INTL AR,34.36,-81.0063,CAIRO,37.0062,-89.1679,2023-07-01,Air,785,9946.65,2023-07-19,,Border Skirmish,Critical,2023-07-09,Ukraine,BATH,5.38,NW,329,329,3,False,False,False,False,False,False,True,True,False,False,4,315.0,-0.7071067812,0.7071067812,7,1,7,2023,5,18,19,7,2023,2
2936,PIKE,34.86,-81.89,ARTHURTOWN,33.9735,-81.0157,2024-09-01,Air,7718,2871.24,2024-09-18,,Strike,High,2024-08-24,Ethiopia,BULLS GAP,0.7,W,273,273,2,True,False,False,False,False,False,False,True,False,False,1,270.0,-1.0,-1.836970199e-16,27,1,9,2024,6,17,18,9,2024,2
4680,EL PORTAL,36.1962,-81.8455,DOUGHERTY,34.4076,-96.9336,2024-09-01,Air,4799,4248.81,2024-09-10,,Strike,High,2024-08-24,Ethiopia,BULLS GAP,1.0,W,226,226,2,True,False,False,False,False,False,False,True,False,False,1,270.0,-1.0,-1.836970199e-16,27,1,9,2024,6,9,10,9,2024,1
2950,(ISN)SLOULIN FLD WIL,38.3,-80.2972,ENCINITAS,33.0334,-117.2522,2023-01-01,Land,1968,7686.84,2023-01-21,,Strike,High,2023-01-07,Nigeria,WHIPPLE,0.15,NW,78,78,2,False,False,False,True,False,False,False,False,True,False,1,315.0,-0.7071067812,0.7071067812,66,1,1,2023,6,20,21,1,2023,5
737,BROOKLYN,37.52,-78.9286,FT DETRICK,39.4177,-77.3995,2024-08-01,Air,5346,626.95,2024-08-12,,Political Protest,Low,2024-08-01,India,WARRENTON,1.56,WSW,557,557,0,False,True,False,False,False,False,False,True,False,False,0,247.5,-0.9238795325,-0.3826834324,11,1,8,2024,3,11,12,8,2024,0
1405,MODOC,36.6357,-96.4,SENECA CREEK,39.3,-76.38,2023-09-01,Sea,8360,9467.44,2023-09-07,,Armed Conflict,Moderate,2023-09-10,India,COFFEYVILLE,4.1,ESE,154,154,1,False,True,False,False,False,False,False,False,False,True,5,112.5,0.9238795325,-0.3826834324,10,1,9,2023,4,6,7,9,2023,3
1211,MACEDONIA,37.9623,-92.55,KEYMAR,39.61,-77.24,2024-08-01,Air,1304,7840.09,2024-08-06,,Strike,Low,2024-08-06,India,BELTON,1.76,WSW,9,9,0,False,True,False,False,False,False,False,True,False,False,1,247.5,-0.9238795325,-0.3826834324,6,1,8,2024,3,5,6,8,2024,1
2715,RALPH,35.2879,-80.8123,(DPG)MICHAEL AAF DUG,40.1569,-112.8937,2024-09-01,Air,7603,1828.92,2024-09-20,,Strike,High,2024-08-24,Ethiopia,EAST FAYETTEVILLE,1.18,NNW,197,197,2,True,False,False,False,False,False,False,True,False,False,1,337.5,-0.3826834324,0.9238795325,6,1,9,2024,6,19,20,9,2024,4
1112,CHEF MENTEUR,32.5443,-94.1547,SACRAMENTO,38.548,-121.4721,2023-03-01,Sea,7191,8593.4,2023-03-19,,Riots,Low,2023-02-19,Ethiopia,PEACEFUL VLY,1.81,SW,144,144,0,True,False,False,False,False,False,False,False,False,True,2,225.0,-0.7071067812,-0.7071067812,4,1,3,2023,2,18,19,3,2023,6
3111,SABLE,39.9,-80.628,MADISON,38.6748,-122.0033,2023-01-01,Sea,6035,9623.24,2023-01-10,,Strike,High,2023-01-07,Nigeria,WHIPPLE,0.67,ESE,90,90,2,False,False,False,True,False,False,False,False,False,True,1,112.5,0.9238795325,-0.3826834324,66,1,1,2023,6,9,10,1,2023,1
164,SOMERSET,38.688,-77.02,DICKSON,38.29,-82.48,2024-08-01,Land,4102,3920.69,2024-08-15,,Political Protest,Low,2024-08-01,India,WAPOCOMO,0.64,N,774,774,0,False,True,False,False,False,False,False,False,True,False,0,0.0,0.0,1.0,4,1,8,2024,3,14,15,8,2024,3
3111,SABLE,39.9,-80.628,MADISON,38.6748,-122.0033,2023-01-01,Sea,6035,9623.24,2023-01-10,,Strike,High,2023-01-07,Nigeria,KIRBY,0.1,NNE,90,90,2,False,False,False,True,False,False,False,False,False,True,1,22.5,0.3826834324,0.9238795325,52,1,1,2023,6,9,10,1,2023,1
4680,EL PORTAL,36.1962,-81.8455,DOUGHERTY,34.4076,-96.9336,2024-09-01,Air,4799,4248.81,2024-09-10,,Strike,High,2024-08-24,Ethiopia,BURNSVILLE,2.36,N,226,226,2,True,False,False,False,False,False,False,True,False,False,1,0.0,0.0,1.0,24,1,9,2024,6,9,10,9,2024,1
1425,RANSOM,39.29,-78.99,STEUBENVILLE,40.36,-80.62,2024-08-01,Air,7173,9387.04,2024-08-13,,Political Protest,Low,2024-08-01,India,MARTINSBURG,1.53,NNW,517,517,0,False,True,False,False,False,False,False,True,False,False,0,337.5,-0.3826834324,0.9238795325,12,1,8,2024,3,12,13,8,2024,1
2339,NEW VICTORY,36.3858,-78.7444,MARICAO,18.1501,-66.9489,2024-08-01,Sea,1873,4355.59,2024-08-06,,Political Protest,Low,2024-08-01,India,GREENVILLE,1.94,E,654,654,0,False,True,False,False,False,False,False,False,False,True,0,90.0,1.0,6.123233996e-17,19,1,8,2024,3,5,6,8,2024,1
756,WHITE SULPHUR SPGS,32.0295,-94.36,HERMITAGE,34.28,-85.04,2024-07-01,Land,4050,6623.08,2024-07-29,,Civil Unrest,Low,2024-06-29,Ethiopia,SHONGALOO,5.42,NNE,178,178,0,True,False,False,False,False,False,False,False,True,False,3,22.5,0.3826834324,0.9238795325,5,1,7,2024,0,28,29,7,2024,0
3612,WHISPERING PINES,36.0798,-83.1714,AIBONITO,18.1337,-66.2642,2024-02-01,Air,1440,5837.98,2024-02-04,,Political Protest,High,2024-02-01,India,ST CLAIR BOTTOM,1.11,E,29,29,2,False,True,False,False,False,False,False,True,False,False,0,90.0,1.0,6.123233996e-17,11,1,2,2024,3,3,4,2,2024,6
164,SOMERSET,38.688,-77.02,DICKSON,38.29,-82.48,2024-08-01,Land,4102,3920.69,2024-08-15,,Political Protest,Low,2024-08-01,India,PINEY GROVE,1.24,NNE,774,774,0,False,True,False,False,False,False,False,False,True,False,0,22.5,0.3826834324,0.9238795325,13,1,8,2024,3,14,15,8,2024,3
989,HIGDEN,34.07,-81.04,FAIRLAND,36.75,-94.85,2023-07-01,Air,7391,8228.1,2023-07-22,,Border Skirmish,Critical,2023-07-09,Ukraine,REMLEYS,0.69,N,323,323,3,False,False,False,False,False,False,True,True,False,False,4,0.0,0.0,1.0,3,1,7,2023,5,21,22,7,2023,5
1425,RANSOM,39.29,-78.99,STEUBENVILLE,40.36,-80.62,2024-08-01,Air,7173,9387.04,2024-08-13,,Political Protest,Low,2024-08-01,India,KENMORE,1.76,S,517,517,0,False,True,False,False,False,False,False,True,False,False,0,180.0,1.224646799e-16,-1.0,12,1,8,2024,3,12,13,8,2024,1
1541,(MRB)SHEPHERD FLD MR,37.9478,-94.9513,CABLETON,42.41,-86.24,2024-08-01,Air,2982,5459.12,2024-08-08,,Strike,Low,2024-08-06,India,WYANDOTTE,3.74,ENE,82,82,0,False,True,False,False,False,False,False,True,False,False,1,67.5,0.9238795325,0.3826834324,5,1,8,2024,3,7,8,8,2024,3
2933,ZION LODGE,25.5783,-80.62,WINTERSVILLE,40.39,-80.7,2024-08-01,Sea,5179,8269.66,2024-08-20,,Armed Conflict,Moderate,2024-08-10,Pakistan,TEQUESTA,7.33,NNW,29,29,1,False,False,False,False,True,False,False,False,False,True,5,337.5,-0.3826834324,0.9238795325,2,1,8,2024,3,19,20,8,2024,1
2432,PEHRSON STATION,34.1735,-96.6424,CLINTONVILLE,31.41,-85.91,2023-03-01,Air,3304,5924.85,2023-03-16,,Riots,Low,2023-02-19,Ethiopia,POOLVILLE,1.5,NNE,226,226,0,True,False,False,False,False,False,False,True,False,False,2,22.5,0.3826834324,0.9238795325,15,1,3,2023,2,15,16,3,2023,3
2734,(DDC)DODGE CITY ARPT,33.18,-96.76,FORDLAND,37.2138,-92.9269,2023-03-01,Air,3181,2438.98,2023-03-25,,Riots,Low,2023-02-19,Ethiopia,HOWE,1.34,ENE,246,246,0,True,False,False,False,False,False,False,True,False,False,2,67.5,0.9238795325,0.3826834324,20,1,3,2023,2,24,25,3,2023,5
2432,PEHRSON STATION,34.1735,-96.6424,CLINTONVILLE,31.41,-85.91,2023-03-01,Air,3304,5924.85,2023-03-16,,Riots,Low,2023-02-19,Ethiopia,TOTO,1.16,E,226,226,0,True,False,False,False,False,False,False,True,False,False,2,90.0,1.0,6.123233996e-17,4,1,3,2023,2,15,16,3,2023,3
2071,(PNE)NE ARPT PHILADE,37.39,-91.2426,CADILLAC WEXFORD ARP,44.26,-85.43,2023-07-01,Sea,3954,5273.1,2023-07-23,,Riots,Critical,2023-07-11,India,PIEDMONT,1.0,NNE,87,87,3,False,True,False,False,False,False,False,False,False,True,2,22.5,0.3826834324,0.9238795325,11,1,7,2023,5,22,23,7,2023,6
2339,NEW VICTORY,36.3858,-78.7444,MARICAO,18.1501,-66.9489,2024-08-01,Sea,1873,4355.59,2024-08-06,,Political Protest,Low,2024-08-01,India,ASKIN,0.89,SW,654,654,0,False,True,False,False,False,False,False,False,False,True,0,225.0,-0.7071067812,-0.7071067812,1,1,8,2024,3,5,6,8,2024,1
380,GANSEVOORT,32.3305,-82.936,FOLLY BEACH C-MAN (FBIS1),32.5425,-79.6639,2023-07-01,Air,8684,7706.32,2023-07-17,,Border Skirmish,Critical,2023-07-09,Ukraine,FAIRFAX,2.15,SSE,199,199,3,False,False,False,False,False,False,True,True,False,False,4,157.5,0.3826834324,-0.9238795325,12,1,7,2023,5,16,17,7,2023,0
3072,OCEANA,38.45,-96.13,LEEDALE,30.98,-97.25,2023-09-01,Sea,4359,4693.57,2023-09-13,,Armed Conflict,Moderate,2023-09-10,India,TABERVILLE,1.77,WSW,61,61,1,False,True,False,False,False,False,False,False,False,True,5,247.5,-0.9238795325,-0.3826834324,4,1,9,2023,4,12,13,9,2023,2
3626,FRIANT,38.71,-81.927,SPRING HILL,32.2431,-92.6265,2023-01-01,Sea,1457,4801.42,2023-01-26,,Strike,High,2023-01-07,Nigeria,ELM GROVE,2.69,NNW,158,158,2,False,False,False,True,False,False,False,False,False,True,1,337.5,-0.3826834324,0.9238795325,7,1,1,2023,6,25,26,1,2023,3
1425,RANSOM,39.29,-78.99,STEUBENVILLE,40.36,-80.62,2024-08-01,Air,7173,9387.04,2024-08-13,,Political Protest,Low,2024-08-01,India,BANCO,0.51,NNW,517,517,0,False,True,False,False,False,False,False,True,False,False,0,337.5,-0.3826834324,0.9238795325,24,1,8,2024,3,12,13,8,2024,1
3829,SANDY BANK,37.38,-77.1182,OHIOVILLE,41.7326,-74.0645,2024-08-01,Air,3642,1554.96,2024-08-08,,Political Protest,Low,2024-08-01,India,STANDARDSVILLE,2.45,NNW,630,630,0,False,True,False,False,False,False,False,True,False,False,0,337.5,-0.3826834324,0.9238795325,41,1,8,2024,3,7,8,8,2024,3
445,LA SAL JCT ARPT,39.3703,-93.3,SEQUATCHIE,35.11,-85.59,2023-08-01,Air,847,4274.37,2023-08-27,,Political Protest,Low,2023-07-24,Myanmar,BIBLE GROVE,0.0,N,62,62,0,False,False,True,False,False,False,False,True,False,False,0,0.0,0.0,1.0,20,1,8,2023,1,26,27,8,2023,6
1425,RANSOM,39.29,-78.99,STEUBENVILLE,40.36,-80.62,2024-08-01,Air,7173,9387.04,2024-08-13,,Political Protest,Low,2024-08-01,India,RADIANT,0.63,SW,517,517,0,False,True,False,False,False,False,False,True,False,False,0,225.0,-0.7071067812,-0.7071067812,6,1,8,2024,3,12,13,8,2024,1
2734,(DDC)DODGE CITY ARPT,33.18,-96.76,FORDLAND,37.2138,-92.9269,2023-03-01,Air,3181,2438.98,2023-03-25,,Riots,Low,2023-02-19,Ethiopia,FT TOWSON,2.0,SSE,246,246,0,True,False,False,False,False,False,False,True,False,False,2,157.5,0.3826834324,-0.9238795325,3,1,3,2023,2,24,25,3,2023,5
4680,EL PORTAL,36.1962,-81.8455,DOUGHERTY,34.4076,-96.9336,2024-09-01,Air,4799,4248.81,2024-09-10,,Strike,High,2024-08-24,Ethiopia,POLKTON,4.26,NE,226,226,2,True,False,False,False,False,False,False,True,False,False,1,45.0,0.7071067812,0.7071067812,24,1,9,2024,6,9,10,9,2024,1
4306,RONDOUT,39.9006,-94.0259,BIG OTTER,38.5956,-81.0543,2023-08-01,Air,8253,692.1,2023-08-16,,Political Protest,Low,2023-07-24,Myanmar,FEGLEY,2.86,SSE,51,51,0,False,False,True,False,False,False,False,True,False,False,0,157.5,0.3826834324,-0.9238795325,5,1,8,2023,1,15,16,8,2023,2
4069,MIDLAND,37.7782,-91.3927,NORTH SLIDELL,30.29,-89.76,2024-12-01,Land,98,4804.11,2024-12-17,,Civil Unrest,Critical,2024-12-10,South Sudan,RAYBORN,2.13,WNW,346,69,3,False,False,False,False,False,True,False,False,True,False,3,292.5,-0.9238795325,0.3826834324,4,1,12,2024,6,16,17,12,2024,1
1914,TIOGA,38.0229,-94.6432,CUSTER,43.73,-103.44,2023-09-01,Air,6925,6937.37,2023-09-26,,Armed Conflict,Moderate,2023-09-10,India,EBENEZER,0.88,NW,80,80,1,False,True,False,False,False,False,False,True,False,False,5,315.0,-0.7071067812,0.7071067812,3,1,9,2023,4,25,26,9,2023,1
2936,PIKE,34.86,-81.89,ARTHURTOWN,33.9735,-81.0157,2024-09-01,Air,7718,2871.24,2024-09-18,,Strike,High,2024-08-24,Ethiopia,GOVAN,1.55,NE,273,273,2,True,False,False,False,False,False,False,True,False,False,1,45.0,0.7071067812,0.7071067812,8,1,9,2024,6,17,18,9,2024,2
4680,EL PORTAL,36.1962,-81.8455,DOUGHERTY,34.4076,-96.9336,2024-09-01,Air,4799,4248.81,2024-09-10,,Strike,High,2024-08-24,Ethiopia,LEBANON,4.0,W,226,226,2,True,False,False,False,False,False,False,True,False,False,1,270.0,-1.0,-1.836970199e-16,14,1,9,2024,6,9,10,9,2024,1
1013,KNOX CITY,38.3234,-93.8125,MT VERNON,38.3077,-88.9456,2024-08-01,Sea,540,6335.46,2024-08-13,,Strike,Low,2024-08-06,India,BURLINGAME,3.03,ESE,44,44,0,False,True,False,False,False,False,False,False,False,True,1,112.5,0.9238795325,-0.3826834324,4,1,8,2024,3,12,13,8,2024,1
737,BROOKLYN,37.52,-78.9286,FT DETRICK,39.4177,-77.3995,2024-08-01,Air,5346,626.95,2024-08-12,,Political Protest,Low,2024-08-01,India,GOLANSVILLE,1.21,WSW,557,557,0,False,True,False,False,False,False,False,True,False,False,0,247.5,-0.9238795325,-0.3826834324,4,1,8,2024,3,11,12,8,2024,0
248,BLUE RIVER,34.47,-80.0039,LAMAR ARPT,38.07,-102.68,2024-09-01,Sea,4302,6224.26,2024-09-19,,Strike,High,2024-08-24,Ethiopia,HAMMOND XRDS,8.28,SSW,172,172,2,True,False,False,False,False,False,False,False,False,True,1,202.5,-0.3826834324,-0.9238795325,15,1,9,2024,6,18,19,9,2024,3
1013,KNOX CITY,38.3234,-93.8125,MT VERNON,38.3077,-88.9456,2024-08-01,Sea,540,6335.46,2024-08-13,,Strike,Low,2024-08-06,India,PICHER,3.0,ENE,44,44,0,False,True,False,False,False,False,False,False,False,True,1,67.5,0.9238795325,0.3826834324,6,1,8,2024,3,12,13,8,2024,1
1710,INDIANAPOLIS INTL AR,34.36,-81.0063,CAIRO,37.0062,-89.1679,2023-07-01,Air,785,9946.65,2023-07-19,,Border Skirmish,Critical,2023-07-09,Ukraine,ORANGEBURG,1.57,E,329,329,3,False,False,False,False,False,False,True,True,False,False,4,90.0,1.0,6.123233996e-17,51,1,7,2023,5,18,19,7,2023,2
1016,CHETEK,38.69,-79.771,UKIAH,39.1529,-123.1917,2023-01-01,Air,3421,904.95,2023-01-18,,Strike,High,2023-01-07,Nigeria,LYNN CAMP,1.06,NNE,71,71,2,False,False,False,True,False,False,False,True,False,False,1,22.5,0.3826834324,0.9238795325,70,1,1,2023,6,17,18,1,2023,2
4478,LOWMAN,32.9773,-81.7213,BROMMERSTOWN,40.61,-76.17,2023-07-01,Air,4024,8232.89,2023-07-05,,Border Skirmish,Critical,2023-07-09,Ukraine,FRIPP ISLAND,5.13,SE,242,242,3,False,False,False,False,False,False,True,True,False,False,4,135.0,0.7071067812,-0.7071067812,1,1,7,2023,5,4,5,7,2023,2
